Num,1. Accelerator Pedal Position (APP) Indicated Angle (%),2. Air Flow Calculated (g/s),3. Barometric Pressure (BARO) (kPa),4. Calculated Three Way Catalyst (TWC) Temperature Bank 1 (degree C),5. Calculated Three Way Catalyst (TWC) Temperature Bank 2 (degree C),6. Catalytic Converter Protection Active,7. Cmmd. A/F Equivalence Ratio (: 1),8. Deceleration Fuel Cutoff,9. Engine Coolant Temperature (ECT) Sensor (degree C),10. Engine Load (%),11. Engine Run Time,12. Engine Speed (rpm),13. Evaporative Emission (EVAP) Purge Solenoid Command (%),14. Fuel Alcohol Content (%),15. Fuel Composition Learn,16. Fuel Tank Level Remaining (%),17. Fuel Trim Cell (   ),18. Fuel Trim Learn,19. Fuel Trim System Test State,20. Fuel Volatility,21. Heated Oxygen Sensor (HO2S) Bank 1 Sensor 1 (mV),22. Heated Oxygen Sensor (HO2S) Bank 1 Sensor 2 (mV),23. Heated Oxygen Sensor (HO2S) Bank 2 Sensor 1 (mV),24. Heated Oxygen Sensor (HO2S) Bank 2 Sensor 2 (mV),25. Hot Open Loop,26. Ignition 1 Signal (V),27. Injector PWM Bank 1 (ms),28. Injector PWM Bank 2 (ms),29. Intake Air Temperature (IAT) Sensor (degree C),30. Intake Manifold Pressure (kPa),31. Long Term Fuel Trim (FT) Bank 1 (%),32. Long Term Fuel Trim (FT) Bank 2 (%),33. Loop Status,34. LT Fuel Trim (FT) Test Average Bank 1 (   ),35. LT Fuel Trim (FT) Test Average Bank 1 w/o Purge (   ),36. LT Fuel Trim (FT) Test Average Bank 2 (   ),37. LT Fuel Trim (FT) Test Average Bank 2 w/o Purge (   ),38. Malfunction Indicator Lamp (MIL) Requested By DTC,39. Manifold Absolute Pressure (MAP) Performance Test 1,40. Manifold Absolute Pressure (MAP) Performance Test 2,41. Manifold Absolute Pressure (MAP) Sensor (kPa),42. Mass Air Flow (MAF) Performance Test,43. Mass Air Flow (MAF) Sensor (g/s),44. Power Enrichment,45. Short Term Fuel Trim (FT) Bank 1 (%),46. Short Term Fuel Trim (FT) Bank 2 (%),47. Spark (deg),48. ST Fuel Trim (FT) Test Average Bank 1 (   ),49. ST Fuel Trim (FT) Test Average Bank 2 (   ),50. Throttle Position (TP) Indicated Angle (%),51. Throttle Position (TP) Performance Test,52. Vehicle Speed Sensor (km/h)
65,18.059,44.016,99,724,724,No,1,Inactive,95,74.902,00:06:45,1445.750,87.843,15.402,Active,98.931,1,Enabled,Disabled,Low,69.444,529.514,47.743,633.681,Inactive,13.820,7.843,7.392,7,20,-12.500,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,79,OK,42.760,Inactive,9.375,9.375,8.500,0,0,35.266,OK,64
66,19.016,48.672,99,724,724,No,1,Inactive,95,69.020,00:06:45,1687.500,89.804,15.402,Active,98.931,1,Enabled,Disabled,Low,807.292,724.826,837.674,694.444,Inactive,13.820,6.716,6.581,7,25,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,74,OK,47.620,Inactive,2.344,11.719,22.500,0,0,35.695,OK,64
67,17.844,48.906,99,724,724,No,1,Inactive,95,69.020,00:06:46,1685.500,90.588,15.402,Active,98.931,1,Enabled,Disabled,Low,182.292,720.486,381.944,694.444,Inactive,13.795,7.136,7.046,7,25,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,73,OK,48.330,Inactive,0.781,6.250,22,0,0,35.539,OK,64
68,17.844,47.438,99,724,724,No,1,Inactive,95,68.235,00:06:46,1675,85.882,15.402,Active,98.931,1,Enabled,Disabled,Low,177.951,729.167,759.549,707.465,Inactive,13.820,6.896,6.460,7,27,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,73,OK,47.420,Inactive,-0.781,0.781,23,0,0,35.109,OK,65
69,15.480,44.797,99,724,724,No,1,Inactive,95,61.961,00:06:46,1654.750,81.176,15.402,Active,98.931,1,Enabled,Disabled,Low,221.354,733.507,820.312,703.125,Inactive,13.845,5.950,6.265,7,30,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,69,OK,41.440,Inactive,-0.781,5.469,25,0,0,33.840,OK,65
70,15.148,42.078,99,724,724,No,1,Inactive,95,58.824,00:06:47,1612,73.725,15.402,Active,98.931,1,Enabled,Disabled,Low,169.271,729.167,264.757,703.125,Inactive,13.820,6.130,6.070,7,32,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,65,OK,40.150,Inactive,4.688,5.469,25,0,0,33.410,OK,66
71,14.074,39.398,99,724,724,No,1,Inactive,95,58.824,00:06:47,1579.500,67.059,15.402,Active,98.931,1,Enabled,Disabled,Low,182.292,733.507,776.910,716.146,Inactive,13.845,5.829,5.784,7,35,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,64,OK,38.300,Inactive,-0.781,5.469,25.500,0,0,32.707,OK,66
72,13.430,36.500,99,723,723,No,1,Inactive,95,56.078,00:06:48,1542.250,63.137,15.402,Active,98.931,1,Enabled,Disabled,Low,516.493,733.507,659.722,707.465,Inactive,13.845,5.183,5.454,7,38,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,61,OK,35.240,Inactive,-0.781,5.469,26.500,0,0,32.141,OK,66
73,13.430,36.203,99,723,723,No,1,Inactive,95,56.863,00:06:48,1538,62.353,15.402,Active,98.931,1,Enabled,Disabled,Low,759.549,737.847,811.632,724.826,Inactive,13.820,5.183,5.168,7,39,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,61,OK,35.310,Inactive,4.688,0,26.500,0,0,32.004,OK,66
74,12.062,32.164,99,723,723,No,1,Inactive,95,53.333,00:06:48,1454.250,58.039,15.402,Active,98.931,1,Enabled,Disabled,Low,724.826,733.507,763.889,729.167,Inactive,13.845,5.213,5.123,7,41,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,59,OK,32.190,Inactive,5.469,4.688,27,0,0,30.871,OK,66
75,12.062,31.062,99,723,723,No,1,Inactive,95,61.569,00:06:49,1264.250,58.824,15.402,Active,98.931,1,Enabled,Disabled,Low,802.951,733.507,824.653,746.528,Inactive,13.820,5.904,5.439,7,35,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,64,OK,30.960,Inactive,5.469,-0.781,23,0,0,30.871,OK,66
76,12.062,31.289,99,723,723,No,1,Inactive,95,60.784,00:06:49,1243,63.529,15.402,Active,98.931,1,Enabled,Disabled,Low,746.528,746.528,199.653,759.549,Inactive,13.820,5.529,5.724,7,34,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,65,OK,30.390,Inactive,-0.781,3.906,22,0,0,30.715,OK,66
77,12.062,31.133,99,722,722,No,1,Inactive,95,60.784,00:06:50,1230.500,63.529,15.402,Active,98.931,1,Enabled,Disabled,Low,763.889,733.507,815.972,776.910,Inactive,13.845,5.769,5.319,7,34,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,66,OK,29.710,Inactive,4.688,3.906,22,0,0,30.578,OK,66
78,12.062,30.273,99,722,722,No,1,Inactive,95,60.392,00:06:50,1207.500,62.745,15.402,Active,98.931,1,Enabled,Disabled,Low,633.681,750.868,425.347,785.590,Inactive,13.820,5.409,5.183,7,34,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,65,OK,29.200,Inactive,-1.562,-3.906,22,0,0,30.285,OK,65
79,12.062,29.938,99,722,722,No,1,Inactive,95,59.216,00:06:50,1201,61.961,15.402,Active,98.931,1,Enabled,Disabled,Low,759.549,742.188,815.972,789.931,Inactive,13.845,5.634,5.589,7,34,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,65,OK,28.410,Inactive,3.125,3.125,22.500,0,0,30.148,OK,65
80,12.062,28,99,721,721,No,1,Inactive,95,60.784,00:06:51,1142.750,57.647,15.402,Active,98.931,0,Enabled,Disabled,Low,56.424,750.868,47.743,789.931,Inactive,13.820,5.093,4.943,7,35,-21.094,-23.438,Closed,0,0.922,0,0.906,Yes,OK,OK,64,OK,28.150,Inactive,3.125,2.344,21.500,0,0,29.875,OK,64
81,12.062,28.875,99,721,721,No,1,Inactive,95,59.608,00:06:51,1181,58.824,15.402,Active,98.931,0,Enabled,Disabled,Low,60.764,737.847,60.764,785.590,Inactive,13.820,5.288,5.138,7,35,-21.094,-23.438,Closed,0,0.922,0,0.906,Yes,OK,OK,64,OK,27.990,Inactive,6.250,5.469,22.500,0,0,29.875,OK,64
82,12.043,28.992,99,721,721,No,1,Inactive,95,59.216,00:06:52,1178.500,58.824,15.402,Active,98.931,0,Enabled,Disabled,Low,781.250,737.847,707.465,776.910,Inactive,13.820,5.559,5.439,7,35,-21.094,-22.656,Closed,0,0.922,0,0.906,Yes,OK,OK,64,OK,28.150,Inactive,10.938,10.938,22,0,0,29.875,OK,63
83,12.043,28.742,99,721,721,No,1,Inactive,95,60.392,00:06:52,1161.500,60,15.402,Active,98.931,0,Enabled,Disabled,Low,65.104,737.847,802.951,772.569,Inactive,13.820,5.379,4.883,7,34,-20.312,-22.656,Closed,0,0.922,0,0.906,Yes,OK,OK,65,OK,27.890,Inactive,7.031,0.781,21.500,0,0,29.875,OK,63
84,12.043,28.883,99,721,721,No,1,Inactive,95,60.392,00:06:52,1158.750,60.784,15.402,Active,98.931,0,Enabled,Disabled,Low,768.229,733.507,86.806,763.889,Inactive,13.820,5.183,5.409,7,34,-20.312,-22.656,Closed,0,0.922,0,0.906,Yes,OK,OK,65,OK,27.680,Inactive,2.344,7.812,21.500,0,0,29.875,OK,63
85,12.043,28.797,99,720,720,No,1,Inactive,95,60.784,00:06:53,1151,61.176,15.402,Active,98.931,0,Enabled,Disabled,Low,703.125,733.507,802.951,759.549,Inactive,13.770,5.499,5.589,7,34,-20.312,-22.656,Closed,0,0.922,0,0.906,Yes,OK,OK,66,OK,27.630,Inactive,8.594,11.719,21.500,0,0,30.012,OK,62
86,12.043,27.516,99,720,720,No,1,Inactive,95,60.784,00:06:53,1108.750,60,15.402,Active,98.931,0,Enabled,Disabled,Low,99.826,737.847,130.208,755.208,Inactive,13.770,5.499,5.439,7,34,-20.312,-22.656,Closed,0,0.922,0,0.906,Yes,OK,OK,65,OK,26.920,Inactive,8.594,3.906,21,0,0,29.582,OK,62
87,12.043,27.891,99,719,719,No,1,Inactive,95,59.608,00:06:54,1134,59.216,15.402,Active,98.931,0,Enabled,Disabled,Low,781.250,737.847,785.590,755.208,Inactive,13.770,5.123,5.379,7,34,-20.312,-21.875,Closed,0,0.922,0,0.906,Yes,OK,OK,65,OK,26.720,Inactive,3.906,10.938,21.500,0,0,29.582,OK,61
88,12.043,27.328,99,719,719,No,1,Inactive,95,59.608,00:06:54,1113,59.216,15.402,Active,98.931,0,Enabled,Disabled,Low,325.521,737.847,642.361,750.868,Inactive,13.746,5.499,5.123,7,34,-20.312,-21.875,Closed,0,0.922,0,0.906,Yes,OK,OK,65,OK,26.670,Inactive,9.375,10.156,21,0,0,29.582,OK,61
89,14.289,27.797,99,719,719,No,1,Inactive,95,59.216,00:06:54,1116,59.216,15.402,Active,98.931,0,Enabled,Disabled,Low,646.701,742.188,811.632,746.528,Inactive,13.795,5.319,5.604,7,33,-20.312,-21.875,Closed,0,0.922,0,0.906,Yes,OK,OK,65,OK,28.830,Inactive,3.906,10.156,21,0,0,31.008,OK,61
90,16.301,34.539,99,719,719,No,1,Inactive,95,74.510,00:06:55,1176,89.804,15.402,Active,98.931,1,Enabled,Disabled,Low,781.250,742.188,538.194,742.188,Inactive,13.770,7.467,6.971,7,22,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,77,OK,35.170,Inactive,9.375,4.688,16,0,0,33.410,OK,60
91,18.664,38.414,99,719,719,No,1,Inactive,95,82.353,00:06:55,1169.750,100,15.402,Active,98.931,1,Enabled,Disabled,Low,768.229,781.250,785.590,742.188,Inactive,13.770,7.933,7.752,7,15,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,85,OK,40,Inactive,0,-0.781,8.500,0,0,35.695,OK,60
92,20.734,38.445,99,718,718,No,1,Inactive,95,89.804,00:06:56,1115.250,100,15.402,Active,98.931,1,Enabled,Disabled,Low,169.271,768.229,125.868,742.188,Inactive,13.746,7.993,8.774,7,11,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,88,OK,39.450,Inactive,-2.344,7.812,7,0,0,36.828,OK,59
93,21.340,40.297,99,718,718,No,1,Inactive,95,87.451,00:06:56,1128.250,100,15.402,Active,98.931,1,Enabled,Disabled,Low,651.042,781.250,824.653,750.868,Inactive,13.770,8.474,8.428,7,8,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,91,OK,39.300,Inactive,7.031,1.562,6,0,0,37.961,OK,59
94,24.445,40.977,99,718,718,No,1,Inactive,95,88.235,00:06:56,1123.750,100,15.402,Active,98.931,1,Enabled,Disabled,Low,772.569,776.910,173.611,742.188,Inactive,13.746,8.624,9.044,7,7,-11.719,-13.281,Closed,0,0.922,0,0.906,Yes,OK,OK,92,OK,39.920,Inactive,7.031,7.031,4.500,0,0,38.957,OK,59
95,26.379,52.945,99,718,718,No,1,Inactive,95,82.745,00:06:57,1450.500,100,15.402,Active,98.931,1,Enabled,Disabled,Low,160.590,763.889,464.410,742.188,Inactive,13.770,8.924,8.338,7,9,-11.719,-12.500,Closed,0,0.922,0,0.906,Yes,OK,OK,90,OK,50.710,Inactive,7.812,2.344,9,0,0,40.227,OK,59
96,27.785,67.555,99,718,718,No,1,Inactive,95,86.667,00:06:57,1825.750,100,15.402,Active,98.931,1,Enabled,Disabled,Low,208.333,755.208,698.785,737.847,Inactive,13.746,9.210,9.120,7,9,-11.719,-12.500,Closed,0,0.922,0,0.906,Yes,OK,OK,90,OK,64.830,Inactive,8.594,8.594,16,0,0,42.922,OK,59
97,28.078,68.180,99,719,719,No,1,Inactive,95,85.882,00:06:58,1848.250,100,15.402,Active,98.931,1,Enabled,Disabled,Low,147.569,742.188,724.826,729.167,Inactive,13.746,9.195,9.210,7,9,-11.719,-12.500,Closed,0,0.922,0,0.906,Yes,OK,OK,90,OK,64.250,Inactive,10.156,3.906,16,0,0,42.922,OK,59
98,28.137,68.414,99,719,719,No,1,Inactive,95,86.667,00:06:58,1843,100,15.402,Active,98.931,1,Enabled,Disabled,Low,138.889,724.826,607.639,720.486,Inactive,13.746,9.510,9.435,7,9,-10.938,-12.500,Closed,0,0.922,0,0.906,Yes,OK,OK,90,OK,66.350,Inactive,10.156,9.375,16,0,0,43.078,OK,61
99,28.137,69.031,99,719,719,No,1,Inactive,95,86.275,00:06:58,1856.750,100,15.402,Active,98.931,1,Enabled,Disabled,Low,733.507,742.188,143.229,716.146,Inactive,13.746,9.029,9.465,7,9,-10.938,-12.500,Closed,0,0.922,0,0.906,Yes,OK,OK,90,OK,66.660,Inactive,9.375,10.938,16,0,0,43.352,OK,61
100,26.926,68.648,99,721,721,No,1,Inactive,95,84.706,00:06:59,1851.750,100,15.402,Active,98.931,1,Enabled,Disabled,Low,173.611,733.507,156.250,720.486,Inactive,13.820,9.390,9.360,7,9,-10.938,-12.500,Closed,0,0.922,0,0.906,Yes,OK,OK,90,OK,64.830,Inactive,3.906,10.938,16.500,0,0,42.492,OK,62
101,26.379,65.758,99,721,721,No,1,Inactive,95,82.353,00:06:59,1840.500,100,15.402,Active,98.931,1,Enabled,Disabled,Low,651.042,750.868,364.583,720.486,Inactive,13.820,8.534,8.969,7,12,-10.156,-12.500,Closed,0,0.922,0,0.906,Yes,OK,OK,87,OK,61.950,Inactive,3.906,5.469,18,0,0,40.930,OK,62
102,23.586,64.148,99,722,722,No,1,Inactive,95,78.824,00:07:00,1836.750,100,15.402,Active,98.931,1,Enabled,Disabled,Low,399.306,742.188,802.951,724.826,Inactive,13.820,8.038,8.113,7,14,-10.156,-12.500,Closed,0,0.922,0,0.906,Yes,OK,OK,86,OK,58.700,Inactive,2.344,5.469,18.500,0,0,39.660,OK,63
103,21.574,58.922,99,722,722,No,1,Inactive,95,76.471,00:07:00,1780.250,100,15.402,Active,98.931,1,Enabled,Disabled,Low,299.479,737.847,824.653,729.167,Inactive,13.795,8.068,8.098,7,17,-10.156,-12.500,Closed,0,0.922,0,0.906,Yes,OK,OK,82,OK,55.760,Inactive,7.812,10.156,19.500,0,0,38.234,OK,63
104,18.176,55.914,99,722,722,No,1,Inactive,95,73.725,00:07:00,1750.500,100,15.402,Active,98.931,1,Enabled,Disabled,Low,182.292,737.847,177.951,724.826,Inactive,13.820,7.767,7.797,7,20,-10.156,-12.500,Closed,0,0.922,0,0.906,Yes,OK,OK,80,OK,51.830,Inactive,6.250,0,20.500,0,0,36.672,OK,64
105,11.047,44.227,99,722,722,No,1,Inactive,95,49.804,00:07:01,1673.250,85.882,15.402,Active,98.931,1,Enabled,Disabled,Low,737.847,742.188,842.014,746.528,Inactive,13.770,5.454,5.649,7,33,-9.375,-11.719,Closed,0,0.922,0,0.906,Yes,OK,OK,59,OK,33.650,Inactive,4.688,2.344,25,0,0,31.008,OK,64
106,11.047,32.633,99,722,722,No,1,Inactive,95,53.333,00:07:01,1487.500,56.863,15.402,Active,98.931,1,Enabled,Disabled,Low,802.951,742.188,685.764,746.528,Inactive,13.770,5.168,4.703,7,42,-9.375,-11.719,Closed,0,0.922,0,0.906,Yes,OK,OK,58,OK,32.250,Inactive,-0.781,-3.906,28,0,0,30.871,OK,64
107,11.047,32.359,99,721,721,No,1,Inactive,95,52.941,00:07:02,1462,56.863,15.402,Active,98.931,1,Enabled,Disabled,Low,763.889,750.868,781.250,742.188,Inactive,13.795,4.763,5.198,7,41,-9.375,-11.719,Closed,0,0.922,0,0.906,Yes,OK,OK,58,OK,31.830,Inactive,-3.125,5.469,27,0,0,30.578,OK,64
108,11.047,31.117,99,721,721,No,1,Inactive,95,51.373,00:07:02,1455.250,55.294,15.402,Active,98.931,1,Enabled,Disabled,Low,824.653,750.868,842.014,755.208,Inactive,13.795,5.003,4.718,7,43,-9.375,-11.719,Closed,0,0.922,0,0.906,Yes,OK,OK,57,OK,30.100,Inactive,3.125,0,28,0,0,30.285,OK,64
109,11.047,29.398,99,721,721,No,1,Inactive,95,49.412,00:07:02,1427.250,53.333,15.402,Active,98.931,1,Enabled,Disabled,Low,481.771,759.549,694.444,755.208,Inactive,13.770,4.462,4.282,7,44,-9.375,-11.719,Closed,0,0.922,0,0.906,Yes,OK,OK,55,OK,28.880,Inactive,-3.125,-3.906,29,0,0,29.719,OK,63
110,11.047,29.367,99,721,721,No,1,Inactive,95,53.725,00:07:03,1305.250,52.941,15.402,Active,98.931,1,Enabled,Disabled,Low,794.271,781.250,837.674,763.889,Inactive,13.770,4.657,4.928,7,43,-9.375,-11.719,Closed,0,0.922,0,0.906,Yes,OK,OK,57,OK,29.090,Inactive,-3.125,-0.781,26,0,0,29.875,OK,63
111,11.047,28.625,99,721,721,No,1,Inactive,95,60.784,00:07:03,1192.250,55.294,15.402,Active,98.931,0,Enabled,Disabled,Low,134.549,768.229,685.764,772.569,Inactive,13.746,4.943,4.597,7,37,-19.531,-21.875,Closed,0,0.922,0,0.906,Yes,OK,OK,62,OK,28.410,Inactive,2.344,3.906,22.500,0,0,29.875,OK,63
112,11.203,28.766,99,720,720,No,1,Inactive,95,58.824,00:07:04,1169,56.863,15.402,Active,98.931,0,Enabled,Disabled,Low,99.826,759.549,82.465,776.910,Inactive,13.720,5.258,5.123,7,36,-19.531,-21.875,Closed,0,0.922,0,0.906,Yes,OK,OK,64,OK,28.990,Inactive,8.594,9.375,22,0,0,29.719,OK,62
113,17.316,35.672,99,720,720,No,1,Inactive,95,76.471,00:07:04,1268,69.804,15.402,Active,98.931,1,Enabled,Disabled,Low,724.826,755.208,460.069,776.910,Inactive,13.696,8.053,7.963,7,24,-9.375,-11.719,Closed,0,0.922,0,0.906,Yes,OK,OK,79,OK,38.680,Inactive,0.781,11.719,14,0,0,34.543,OK,62
114,17.160,39.312,99,720,720,No,1,Inactive,95,76.471,00:07:04,1245.750,100,15.402,Active,98.931,1,Enabled,Disabled,Low,755.208,776.910,837.674,785.590,Inactive,13.696,7.091,7.227,7,19,-9.375,-11.719,Closed,0,0.922,0,0.906,Yes,OK,OK,80,OK,38.230,Inactive,-1.562,1.562,13.500,0,0,34.543,OK,62
115,14.113,35.836,99,720,720,No,1,Inactive,95,72.549,00:07:05,1167.500,100,15.402,Active,98.931,1,Enabled,Disabled,Low,828.993,785.590,746.528,794.271,Inactive,13.696,6.896,6.566,7,20,-9.375,-11.719,Closed,0,0.922,0,0.906,Yes,OK,OK,80,OK,32.670,Inactive,4.688,-3.125,13,0,0,32.844,OK,62
116,0.500,24.281,99,720,720,No,1,Inactive,95,25.490,00:07:05,1300.250,52.157,15.402,Active,98.931,7,Enabled,Disabled,Low,195.312,798.611,108.507,794.271,Inactive,13.720,2.915,3.125,7,48,-25,-27.344,Closed,0,0.922,0,0.906,Yes,OK,OK,54,OK,12.620,Inactive,-2.344,-5.469,30,0,0,22.629,OK,61
117,0.500,14.969,99,719,719,No,1,Inactive,95,26.667,00:07:06,1179.500,43.922,15.402,Active,98.931,7,Enabled,Disabled,Low,820.312,785.590,781.250,794.271,Inactive,13.720,2.118,2.224,7,62,-25,-27.344,Closed,0,0.922,0,0.906,Yes,OK,OK,38,OK,12.680,Inactive,-1.562,4.688,27.500,0,0,22.629,OK,61
118,0.500,11.062,99,719,719,No,1,Inactive,95,28.627,00:07:06,1090.500,48.235,15.402,Active,98.931,7,Enabled,Disabled,Low,156.250,785.590,824.653,789.931,Inactive,13.646,4.056,3.861,7,45,-25,-27.344,Closed,0,0.922,0,0.906,Yes,OK,OK,55,OK,12.650,Inactive,-2.344,-0.781,11.500,0,0,22.492,OK,60
119,0.500,11.562,99,719,719,No,1,Inactive,95,26.275,00:07:06,1127,34.902,15.402,Active,98.931,7,Enabled,Disabled,Low,43.403,781.250,47.743,789.931,Inactive,13.646,4.267,3.891,7,43,-25,-27.344,Closed,0,0.922,0,0.906,Yes,OK,OK,57,OK,10.700,Inactive,3.125,4.688,12,0,0,21.359,OK,60
120,0.500,10.812,99,718,718,No,1,Inactive,95,23.529,00:07:07,1101.500,30.196,15.402,Active,98.931,7,Enabled,Disabled,Low,52.083,776.910,56.424,789.931,Inactive,13.720,4.162,3.816,7,45,-25,-27.344,Closed,0,0.922,0,0.906,Yes,OK,OK,54,OK,10.200,Inactive,3.906,6.250,12,0,0,21.203,OK,59
121,0.500,10.070,99,718,718,No,1,Inactive,95,21.961,00:07:07,1082.250,26.667,15.402,Active,98.931,7,Enabled,Disabled,Low,73.785,776.910,190.972,789.931,Inactive,13.670,4.102,3.786,7,47,-25,-26.562,Closed,0,0.922,0,0.906,Yes,OK,OK,52,OK,9.400,Inactive,7.812,10.156,12,0,0,20.500,OK,58
122,13.586,12.656,99,717,717,No,1,Inactive,96,55.686,00:07:08,1070.750,24.314,15.402,Active,98.931,0,Enabled,Disabled,Low,677.083,776.910,746.528,781.250,Inactive,13.720,6.370,5.950,7,34,-19.531,-21.875,Closed,0,0.922,0,0.906,Yes,OK,OK,61,OK,23.700,Inactive,0.781,2.344,10.500,0,0,29.309,OK,57
123,17.980,38.047,99,717,717,No,1,Inactive,96,72.941,00:07:08,1252,84.314,15.402,Active,98.931,1,Enabled,Disabled,Low,112.847,776.910,151.910,776.910,Inactive,13.770,7.782,6.806,7,20,-9.375,-11.719,Closed,0,0.922,0,0.906,Yes,OK,OK,79,OK,36.320,Inactive,5.469,6.250,2,0,0,34.406,OK,56
124,25.793,57.383,99,717,717,No,1,Inactive,96,85.882,00:07:08,1700.750,100,15.402,Active,98.931,1,Enabled,Disabled,Low,177.951,772.569,785.590,763.889,Inactive,13.746,8.504,7.858,7,15,-9.375,-11.719,Closed,0,0.922,0,0.906,Yes,OK,OK,87,OK,58.960,Inactive,-0.781,6.250,17,0,0,39.523,OK,56
125,27.395,64.961,99,718,718,No,1,Inactive,96,85.490,00:07:09,1807,100,15.402,Active,98.931,1,Enabled,Disabled,Low,364.583,755.208,664.062,750.868,Inactive,13.795,9.150,9.165,7,10,-9.375,-10.938,Closed,0,0.922,0,0.906,Yes,OK,OK,89,OK,63.240,Inactive,6.250,7.812,17.500,0,0,41.926,OK,57
126,26.984,65.781,99,718,718,No,1,Inactive,96,85.098,00:07:09,1823,100,15.402,Active,98.931,1,Enabled,Disabled,Low,160.590,742.188,182.292,729.167,Inactive,13.820,9.225,9.255,7,10,-9.375,-10.938,Closed,0,0.922,0,0.906,Yes,OK,OK,89,OK,64.250,Inactive,0.781,7.031,17.500,0,0,42.082,OK,57
127,23.918,61.172,99,719,719,No,1,Inactive,96,79.216,00:07:10,1795,100,15.402,Active,98.931,1,Enabled,Disabled,Low,208.333,729.167,151.910,729.167,Inactive,13.795,8.519,8.444,7,15,-8.594,-10.938,Closed,0,0.922,0,0.906,Yes,OK,OK,84,OK,58.050,Inactive,7.031,8.594,19.500,0,0,39.367,OK,57
128,23.879,59.344,99,719,719,No,1,Inactive,96,78.824,00:07:10,1771,100,15.402,Active,98.931,1,Enabled,Disabled,Low,694.444,750.868,694.444,733.507,Inactive,13.820,7.993,8.008,7,16,-8.594,-10.938,Closed,0,0.922,0,0.906,Yes,OK,OK,84,OK,57.530,Inactive,0.781,3.125,19,0,0,38.801,OK,58
129,22.902,58.812,99,719,719,No,1,Inactive,96,78.431,00:07:10,1758.250,100,15.402,Active,98.931,1,Enabled,Disabled,Low,568.576,746.528,807.292,733.507,Inactive,13.820,7.843,8.263,7,16,-8.594,-10.938,Closed,0,0.922,0,0.906,Yes,OK,OK,83,OK,57.270,Inactive,0,7.812,19,0,0,38.664,OK,58
130,19.855,54.141,99,719,719,No,1,Inactive,96,69.804,00:07:11,1719.500,100,15.402,Active,98.931,1,Enabled,Disabled,Low,208.333,746.528,711.806,737.847,Inactive,13.820,7.737,7.737,7,21,-8.594,-10.938,Closed,0,0.922,0,0.906,Yes,OK,OK,77,OK,52.160,Inactive,-1.562,7.031,20.500,0,0,36.965,OK,59
131,12.414,45.367,99,719,719,No,1,Inactive,96,60.392,00:07:11,1654.500,86.667,15.402,Active,98.931,1,Enabled,Disabled,Low,716.146,746.528,733.507,737.847,Inactive,13.820,6.025,6.130,7,30,-8.594,-10.938,Closed,0,0.922,0,0.906,Yes,OK,OK,71,OK,38,Inactive,3.906,1.562,24.500,0,0,32.434,OK,59
132,9.680,28.656,99,719,719,No,1,Inactive,96,49.804,00:07:12,1392,51.373,15.402,Active,98.931,1,Enabled,Disabled,Low,147.569,746.528,112.847,737.847,Inactive,13.820,4.808,4.793,7,44,-8.594,-10.938,Closed,0,0.922,0,0.906,Yes,OK,OK,55,OK,28.200,Inactive,3.125,5.469,28.500,0,0,29.445,OK,59
133,16.320,29.031,99,719,719,No,1,Inactive,96,78.824,00:07:12,1370,51.373,15.402,Active,98.931,0,Enabled,Disabled,Low,308.160,746.528,742.188,742.188,Inactive,13.820,4.312,4.627,7,43,-8.594,-10.938,Closed,0,0.922,0,0.906,Yes,OK,OK,70,OK,30.220,Inactive,3.906,6.250,28,0,0,32.277,OK,59
134,18.020,47.266,99,719,719,No,1,Inactive,96,69.412,00:07:12,1605.750,85.098,15.402,Active,98.931,1,Enabled,Disabled,Low,672.743,759.549,842.014,746.528,Inactive,13.820,6.881,7.272,7,26,-8.594,-10.156,Closed,0,0.922,0,0.906,Yes,OK,OK,73,OK,46.720,Inactive,-1.562,6.250,21,0,0,35.402,OK,59
