Num,1. Accelerator Pedal Position (APP) Indicated Angle (Cylinder 5 Instrument Cluster (IC) Circuit Open Test Status),2. Air Conditioning (A/C) Relay Command (Cylinder 5 Instrument Cluster (IC) Circuit Short Gnd Test Status),3. Air Flow Calculated (Cylinder 5 Instrument Cluster (IC) Circuit Short Volts Test Status),4. Calculated Three Way Catalyst (TWC) Temperature Bank 1 (Cylinder 6 Injector Circuit Open Test Status),5. Calculated Three Way Catalyst (TWC) Temperature Bank 2 (Cylinder 6 Injector Circuit Short Gnd Test Status),6. Camshaft Position (CMP) Sensor (Cylinder 6 Injector Circuit Short Volts Test Status),7. Cycles Of Misfire Data (Cylinder 6 Instrument Cluster (IC) Circuit Open Test Status),8. Cylinder 1 Injector Circuit Open Test Status (Cylinder 6 Instrument Cluster (IC) Circuit Short Gnd Test Status),9. Cylinder 1 Injector Circuit Short Gnd Test Status (Cylinder 6 Instrument Cluster (IC) Circuit Short Volts Test Status),10. Cylinder 1 Injector Circuit Short Volts Test Status (Cylinder 7 Injector Circuit Open Test Status),11. Cylinder 1 Instrument Cluster (IC) Circuit Open Test Status (Cylinder 7 Injector Circuit Short Gnd Test Status),12. Cylinder 1 Instrument Cluster (IC) Circuit Short Gnd Test Status (Cylinder 7 Injector Circuit Short Volts Test Status),13. Cylinder 1 Instrument Cluster (IC) Circuit Short Volts Test Status (Cylinder 7 Instrument Cluster (IC) Circuit Open Test Status),14. Cylinder 2 Injector Circuit Open Test Status (Cylinder 7 Instrument Cluster (IC) Circuit Short Gnd Test Status),15. Cylinder 2 Injector Circuit Short Gnd Test Status (Cylinder 7 Instrument Cluster (IC) Circuit Short Volts Test Status),16. Cylinder 2 Injector Circuit Short Volts Test Status (Cylinder 8 Injector Circuit Open Test Status),17. Cylinder 2 Instrument Cluster (IC) Circuit Open Test Status (Cylinder 8 Injector Circuit Short Gnd Test Status),18. Cylinder 2 Instrument Cluster (IC) Circuit Short Gnd Test Status (Cylinder 8 Injector Circuit Short Volts Test Status),19. Cylinder 2 Instrument Cluster (IC) Circuit Short Volts Test Status (Cylinder 8 Instrument Cluster (IC) Circuit Open Test Status),20. Cylinder 3 Injector Circuit Open Test Status (Cylinder 8 Instrument Cluster (IC) Circuit Short Gnd Test Status),21. Cylinder 3 Injector Circuit Short Gnd Test Status (Cylinder 8 Instrument Cluster (IC) Circuit Short Volts Test Status),22. Cylinder 3 Injector Circuit Short Volts Test Status (Cylinder Deactivation Performance Test),23. Cylinder 3 Instrument Cluster (IC) Circuit Open Test Status (Engine Coolant Temperature (ECT) Sensor),24. Cylinder 3 Instrument Cluster (IC) Circuit Short Gnd Test Status (Engine Load),25. Cylinder 3 Instrument Cluster (IC) Circuit Short Volts Test Status (Engine Oil Pressure Sensor),26. Cylinder 4 Injector Circuit Open Test Status (Engine Run Time),27. Cylinder 4 Injector Circuit Short Gnd Test Status (Engine Speed),28. Cylinder 4 Injector Circuit Short Volts Test Status (Fuel Tank Level Remaining),29. Cylinder 4 Instrument Cluster (IC) Circuit Open Test Status (Ignition 1 Signal),30. Cylinder 4 Instrument Cluster (IC) Circuit Short Gnd Test Status (Injector 1 Disabled Due To Misfire),31. Cylinder 4 Instrument Cluster (IC) Circuit Short Volts Test Status (Injector 2 Disabled Due To Misfire),32. Cylinder 5 Injector Circuit Open Test Status (Injector 3 Disabled Due To Misfire),33. Cylinder 5 Injector Circuit Short Gnd Test Status (Injector 4 Disabled Due To Misfire),34. Cylinder 5 Injector Circuit Short Volts Test Status (Injector 5 Disabled Due To Misfire)
108,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
109,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,21.176,332,00:03:43,567,98.931,14.293,No,No,No,No,No,No,No,No,2.464,2.344,13,No,38,6.330,0,2,0
110,2,0,0,76,0,0,6,0,0,0,1,455,0,Inactive,32,18.117,102,0,0.500,Off,5.859,295,295,571,77,OK,OK,OK,OK,OK,OK,OK,OK,OK
111,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
112,OK,OK,OK,OK,OK,OK,48,19.608,324,00:03:43,586,98.931,14.293,No,No,No,No,No,No,No,No,2.224,2.088,13,No,35,6.230,0,2,0,2,0,0,78
113,0,0,6,0,0,0,1,455,0,Inactive,29.500,17.980,102,0,0.500,Off,6.008,295,295,574,79,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
114,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
115,OK,OK,48,20.392,332,00:03:43,573.500,98.931,14.218,No,No,No,No,No,No,No,No,2.148,2.043,13,No,35,6.180,0,2,0,2,0,0,80,0,0,6,0
116,0,0,1,455,0,Inactive,29,18.117,102,0,0.500,Off,5.555,295,295,505,80,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
117,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20.392
118,328,00:03:44,516.500,98.931,14.218,No,No,No,No,No,No,No,No,2.299,2.224,13,No,36,6.260,0,2,0,2,0,0,82,0,0,6,0,0,0,1,455
119,0,Inactive,31,18.117,102,0,0.500,Off,6.406,295,295,592,82,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
120,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,20.392,328,00:03:44,595,98.931
121,14.268,No,No,No,No,No,No,No,No,2.254,2.133,13,No,36,6.340,0,2,0,2,0,0,86,0,0,6,0,0,0,1,455,0,Inactive,25.500,18.117
122,102,0,0.500,Off,5.961,295,295,556,84,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
123,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,18.824,328,00:03:45,531.750,98.931,14.244,No,No,No
124,No,No,No,No,No,2.133,2.028,13,No,35,6.070,0,2,0,2,0,0,86,0,0,6,0,0,0,1,455,0,Inactive,30.500,17.824,102,0,0.500,Off
125,5.547,295,295,515,86,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
126,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,23.137,328,00:03:45,517,98.931,14.417,No,No,No,No,No,No,No
127,No,2.509,2.374,13,No,37,7.090,0,2,0,2,0,0,88,0,0,6,0,0,0,1,455,0,Inactive,32,18.957,102,0,0.500,Off,6.430,295,295,541
128,88,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
129,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,48,21.176,328,00:03:45,563.750,98.931,14.417,No,No,No,No,No,No,No,No,2.434,2.314,13
130,No,37,6.590,0,2,0,2,0,0,88,0,0,6,0,0,0,1,455,0,Inactive,32,18.254,102,0,0.500,Off,5.711,295,295,574,90,OK,OK,OK
131,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
132,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,19.608,328,00:03:46,582,98.931,14.293,No,No,No,No,No,No,No,No,2.239,2.118,13,No,36,6.230,0
133,2,0,2,0,0,90,0,0,6,0,0,0,1,455,0,Inactive,29,17.980,102,0,0.500,Off,5.820,295,295,516,91,OK,OK,OK,OK,OK,OK,OK
134,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
135,OK,OK,OK,OK,OK,OK,OK,OK,49,20.784,328,00:03:46,523.500,98.931,14.218,No,No,No,No,No,No,No,No,2.419,2.284,13,No,36,6.520,0,2,0,2,0
136,0,94,0,0,6,0,0,0,1,455,0,Inactive,31,18.254,102,0,0.500,Off,6.562,295,295,602,94,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
137,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
138,OK,OK,OK,OK,49,20,332,00:03:47,602.750,98.931,14.318,No,No,No,No,No,No,No,No,2.239,2.118,13,No,36,6.380,0,2,0,2,0,0,96,0,0
139,6,0,0,0,1,455,0,Inactive,23,18.117,102,0,0.500,Off,5.711,295,295,574,96,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
140,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
141,49,18.824,328,00:03:47,548,98.931,14.194,No,No,No,No,No,No,No,No,2.058,1.953,13,No,34,6.020,0,2,0,2,0,0,96,0,0,6,0,0,0
142,1,455,0,Inactive,30.500,17.824,102,0,0.500,Off,5.586,295,295,506,98,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
143,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,21.176,324,00:03:48
144,494,98.931,14.318,No,No,No,No,No,No,No,No,2.479,2.359,13,No,36,6.840,0,2,0,2,0,0,98,0,0,6,0,0,0,1,455,0,Inactive
145,31,18.684,102,0,0.500,Off,5.875,295,295,502,0,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
146,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,22.353,328,00:03:48,504,98.931,14.218,No
147,No,No,No,No,No,No,No,2.614,2.479,13,No,39,6.950,0,0,0,0,0,0,0,0,0,8,0,2,0,1,553,0,Inactive,32.500,18.547,102,0
148,0.500,Off,6.906,295,295,607,2,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
149,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,20.784,324,00:03:48,635.750,98.931,14.343,No,No,No,No,No
150,No,No,No,2.434,2.284,13,No,38,6.700,0,0,0,0,0,0,2,0,0,8,0,2,0,1,553,0,Inactive,20.500,18.391,102,0,0.500,Off,6.328,295
151,295,615,4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
152,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,19.608,332,00:03:49,616.750,98.931,14.194,No,No,No,No,No,No,No,No,2.073
153,1.998,13,No,34,6.150,0,0,0,0,0,0,2,0,0,8,0,2,0,1,553,0,Inactive,22.500,17.980,102,0,0.500,Off,5.438,295,295,518,6,OK
154,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
155,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,20,324,00:03:49,519.750,98.931,14.144,No,No,No,No,No,No,No,No,2.239,2.133,13,No,35
156,6.250,0,0,0,0,0,0,4,0,0,8,0,2,0,1,553,0,Inactive,31,18.117,102,0,0.500,Off,6.281,295,295,499,8,OK,OK,OK,OK,OK
157,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
158,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,23.922,324,00:03:50,483.750,98.931,14.194,No,No,No,No,No,No,No,No,2.644,2.494,13,No,39,7.020,0,0,0
159,0,0,0,8,0,0,8,0,2,0,1,553,0,Inactive,33,18.820,102,0,0.500,Off,6.625,295,295,623,11,OK,OK,OK,OK,OK,OK,OK,OK,OK
160,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
161,OK,OK,OK,OK,OK,OK,49,19.216,324,00:03:50,623.250,98.931,14.268,No,No,No,No,No,No,No,No,2.178,2.058,13,No,35,6.060,0,0,0,0,0,0,8
162,0,0,8,0,2,0,1,553,0,Inactive,20,17.980,102,0,0.500,Off,5.961,295,295,593,13,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
163,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
164,OK,OK,49,19.608,332,00:03:51,589.250,98.931,14.218,No,No,No,No,No,No,No,No,2.043,1.923,13,No,34,6.050,0,0,0,0,0,0,10,0,0,8,0
165,2,0,1,553,0,Inactive,24.500,17.824,102,0,0.500,Off,5.102,295,295,496,15,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
166,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,21.569
167,324,00:03:51,499,98.931,14.168,No,No,No,No,No,No,No,No,2.374,2.209,13,No,36,6.660,0,0,0,0,0,0,12,0,0,8,0,2,0,1,553
168,0,Inactive,31.500,18.547,102,0,0.500,Off,7.281,295,295,502,16,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
169,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,25.882,320,00:03:52,530.750,98.931
170,14.318,No,No,No,No,No,No,No,No,2.494,2.374,13,No,41,6.380,0,0,0,0,0,0,12,0,0,8,0,2,0,1,553,0,Inactive,32.500,17.980
171,102,0,0.500,Off,6.734,295,295,637,18,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
172,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,20,332,00:03:52,621.750,98.931,14.318,No,No,No
173,No,No,No,No,No,2.118,2.013,13,No,36,6.360,0,0,0,0,0,0,12,0,0,8,0,2,0,1,553,0,Inactive,19,18.117,102,0,0.500,Off
174,6.203,295,295,570,20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
175,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,20,328,00:03:52,569,98.931,14.368,No,No,No,No,No,No,No
176,No,2.118,2.013,13,No,35,6.310,0,0,0,0,0,0,12,0,0,8,0,2,0,1,553,0,Inactive,26.500,18.117,102,0,0.500,Off,5.742,294,294,560
177,22,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
178,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,20.784,324,00:03:53,567,98.931,14.318,No,No,No,No,No,No,No,No,2.269,2.148,13
179,No,35,6.490,0,0,0,0,0,0,14,0,0,8,0,2,0,1,553,0,Inactive,31,18.254,102,0,0.500,Off,5.750,294,294,559,24,OK,OK,OK
180,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
181,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,20.392,332,00:03:53,557.750,98.931,14.318,No,No,No,No,No,No,No,No,2.194,2.073,13,No,35,6.240,0
182,0,0,0,0,0,14,0,0,8,0,2,0,1,553,0,Inactive,26.500,18.117,102,0,0.500,Off,5.727,294,294,530,27,OK,OK,OK,OK,OK,OK,OK
183,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
184,OK,OK,OK,OK,OK,OK,OK,OK,49,21.176,328,00:03:54,540.750,98.931,14.318,No,No,No,No,No,No,No,No,2.449,2.329,13,No,37,6.600,0,0,0,0,0
185,0,16,0,0,8,0,2,0,1,553,0,Inactive,32,18.391,102,0,0.500,Off,6.086,294,294,564,29,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
186,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
187,OK,OK,OK,OK,49,20.784,328,00:03:54,586,98.931,14.368,No,No,No,No,No,No,No,No,2.419,2.299,13,No,37,6.130,0,0,0,0,0,0,16,0,0
188,8,0,2,0,1,553,0,Inactive,28.500,18.117,102,0,0.500,Off,5.914,294,294,609,31,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
189,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
190,49,20,332,00:03:55,616.750,98.931,14.343,No,No,No,No,No,No,No,No,2.178,2.058,13,No,35,6.120,0,0,0,0,0,0,18,0,0,8,0,2,0
191,1,553,0,Inactive,21.500,18.117,102,0,0.500,Off,5.586,294,294,510,33,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
192,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,19.608,328,00:03:55
193,493.250,98.931,14.218,No,No,No,No,No,No,No,No,2.284,2.194,13,No,36,6.250,0,0,0,0,0,0,20,0,0,8,0,2,0,1,553,0,Inactive
194,31,17.980,102,0,0.500,Off,5.797,294,294,507,35,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
195,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,23.137,324,00:03:56,517,98.931,14.417,No
196,No,No,No,No,No,No,No,2.704,2.569,13,No,39,7.270,0,0,0,0,0,0,24,0,0,8,0,2,0,1,553,0,Inactive,33,18.957,102,0
197,0.500,Off,6.648,294,294,631,37,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
198,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,20.392,328,00:03:56,629,98.931,14.368,No,No,No,No,No
199,No,No,No,2.314,2.209,13,No,36,6.400,0,0,0,0,0,0,28,0,0,8,0,2,0,1,553,0,Inactive,18.500,18.117,102,0,0.500,Off,6.188,294
200,294,603,39,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
201,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,19.608,332,00:03:56,601.250,98.931,14.318,No,No,No,No,No,No,No,No,2.088
202,1.998,13,No,34,6.130,0,0,0,0,0,0,28,0,0,8,0,2,0,1,553,0,Inactive,23,17.980,102,0,0.500,Off,5.812,294,294,564,41,OK
203,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
204,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,19.608,328,00:03:57,560.250,98.931,14.318,No,No,No,No,No,No,No,No,2.103,2.013,13,No,34
205,6.220,0,0,0,0,0,0,30,0,0,8,0,2,0,1,553,0,Inactive,30,18.117,102,0,0.500,Off,4.781,294,294,464,43,OK,OK,OK,OK,OK
206,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
207,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,22.745,320,00:03:57,486.250,98.931,14.119,No,No,No,No,No,No,No,No,2.539,2.359,13,No,37,6.700,0,0,0
208,0,0,0,30,0,0,8,0,2,0,1,553,0,Inactive,31.500,18.391,102,0,0.500,Off,6.773,294,294,518,44,OK,OK,OK,OK,OK,OK,OK,OK,OK
209,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
210,OK,OK,OK,OK,OK,OK,49,20.784,324,00:03:58,518.750,98.931,14.244,No,No,No,No,No,No,No,No,2.434,2.314,13,No,39,6.640,0,0,0,0,0,0,32
211,0,0,8,0,2,0,1,553,0,Inactive,32.500,18.391,102,0,0.500,Off,6.547,294,294,607,47,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
212,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
213,OK,OK,49,19.608,332,00:03:58,592.250,98.931,14.318,No,No,No,No,No,No,No,No,2.163,2.043,13,No,35,6.200,0,0,0,0,0,0,32,0,0,8,0
214,2,0,1,553,0,Inactive,21.500,17.980,102,0,0.500,Off,5.656,294,294,545,49,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
215,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,20.392
216,324,00:03:59,519.500,98.931,14.268,No,No,No,No,No,No,No,No,2.299,2.178,13,No,35,6.530,0,0,0,0,0,0,36,0,0,8,0,2,0,1,553
217,0,Inactive,30.500,18.254,102,0,0.500,Off,5.805,294,294,540,51,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
218,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,21.176,324,00:03:59,549.750,98.931
219,14.268,No,No,No,No,No,No,No,No,2.389,2.254,13,No,36,6.610,0,0,0,0,0,0,38,0,0,8,0,2,0,1,553,0,Inactive,31.500,18.391
220,102,0,0.500,Off,6.406,294,294,539,53,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
221,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,49,21.176,324,00:04:00,547.500,98.931,14.417,No,No,No
222,No,No,No,No,No,2.479,2.329,13,No,37,6.260,0,0,0,0,0,0,42,0,0,8,0,2,0,1,553,0,Inactive,32,17.980,102,0,0.500,Off
223,6.094,294,294,581,56,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
224,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.216,328,00:04:00,580.250,98.931,14.293,No,No,No,No,No,No,No
225,No,2.133,2.058,13,No,35,6.040,0,0,0,0,0,0,44,0,0,8,0,2,0,1,553,0,Inactive,27,17.824,102,0,0.500,Off,5.742,294,294,547
226,57,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
227,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.608,328,00:04:00,553,98.931,14.343,No,No,No,No,No,No,No,No,2.178,2.073,13
228,No,35,6.100,0,0,0,0,0,0,48,0,0,8,0,2,0,1,553,0,Inactive,30.500,17.980,102,0,0.500,Off,5.859,294,294,562,59,OK,OK,OK
229,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
230,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,50,19.608,324,00:04:01,565.250,98.931,14.218,No,No,No,No,No,No,No,No,2.163,2.058,13,No,35,6.120,0
231,0,0,0,0,0,48,0,0,8,0,2,0,1,553,0,Inactive,30.500,17.980,102,0,0.500,Off,5.492,294,294,501,61,OK,OK,OK,OK,OK,OK,OK
232,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
233,OK,OK,OK,OK,OK,OK,OK,OK,50,20.392,328,00:04:01,498.250,98.931,14.343,No,No,No,No,No,No,No,No,2.284,2.178,13,No,36,6.210,0,0,0,0,0
